Date	P	T	Q	Q_predicted_CatBoost	nse_score_Catboost
2060-01-01	5.51	3.78	5.12	5.035442574545237	0.8515044539707257
2060-01-02	1.71	0.33	3.61	3.6212153022271183	0.8515044539707257
2060-01-03	0.57	-0.12	2.43	2.4348284001220906	0.8515044539707257
2060-01-04	0.02	-2.79	1.88	1.7829592696783567	0.8515044539707257
2060-01-05	0.0	-5.66	1.51	1.4733098804393063	0.8515044539707257
2060-01-06	0.0	-6.36	1.26	1.3235343527591756	0.8515044539707257
2060-01-07	0.34	-2.03	1.03	1.091768859952946	0.8515044539707257
2060-01-08	0.09	-0.7	0.94	1.1522381367181556	0.8515044539707257
2060-01-09	3.51	0.65	0.9	0.942391662592172	0.8515044539707257
2060-01-10	18.31	4.7	1.5	1.635370608441822	0.8515044539707257
2060-01-11	3.44	3.49	7.02	8.653656370823498	0.8515044539707257
2060-01-12	3.43	1.45	3.37	3.903781329728892	0.8515044539707257
2060-01-13	0.4	-1.39	2.14	3.1158903078849787	0.8515044539707257
2060-01-14	0.0	-4.14	1.7	1.6076990396830155	0.8515044539707257
2060-01-15	0.0	-1.9	1.44	1.3864045826568938	0.8515044539707257
2060-01-16	0.03	-2.05	1.25	1.1619429661534524	0.8515044539707257
2060-01-17	0.02	-2.35	1.1	1.0553517982453642	0.8515044539707257
2060-01-18	1.77	-0.29	1.01	0.9614508205893559	0.8515044539707257
2060-01-19	0.09	4.15	1.24	0.9866343353667956	0.8515044539707257
2060-01-20	1.47	3.49	1.29	0.8506731134335119	0.8515044539707257
2060-01-21	7.22	4.76	1.3	0.9143492467667608	0.8515044539707257
2060-01-22	4.04	7.97	3.62	1.9229539891169876	0.8515044539707257
2060-01-23	21.95	9.52	6.99	4.830015477658143	0.8515044539707257
2060-01-24	9.01	5.55	7.72	8.267972845719825	0.8515044539707257
2060-01-25	11.1	9.39	9.6	5.681714902887289	0.8515044539707257
2060-01-26	7.82	11.24	6.39	6.4721021056748755	0.8515044539707257
2060-01-27	2.89	3.01	5.07	4.2476702980074785	0.8515044539707257
2060-01-28	2.15	8.09	3.81	2.6074057093467964	0.8515044539707257
2060-01-29	4.17	9.17	2.98	1.8932324369486238	0.8515044539707257
2060-01-30	6.63	7.5	2.91	1.9641603727089598	0.8515044539707257
2060-01-31	0.0	2.0	3.46	2.4300468881519643	0.8515044539707257
2060-02-01	0.0	4.65	2.49	1.614853140298506	0.8515044539707257
2060-02-02	1.49	5.83	1.95	1.5725835730863353	0.8515044539707257
2060-02-03	0.0	5.8	1.64	1.3390546505260095	0.8515044539707257
2060-02-04	0.76	6.52	1.45	1.1039155196123518	0.8515044539707257
2060-02-05	0.0	7.86	1.3	1.0938426045350462	0.8515044539707257
2060-02-06	0.02	8.34	1.19	0.9110894176881429	0.8515044539707257
2060-02-07	0.97	9.57	1.1	0.8287074384109303	0.8515044539707257
2060-02-08	4.84	10.65	1.04	0.8311148016169716	0.8515044539707257
2060-02-09	4.49	8.73	1.56	1.2388557109052811	0.8515044539707257
2060-02-10	0.39	7.82	1.39	1.330844945716081	0.8515044539707257
2060-02-11	0.61	8.75	1.24	1.3184260570050759	0.8515044539707257
2060-02-12	0.1	9.35	1.08	1.2673042410367483	0.8515044539707257
2060-02-13	1.36	8.62	1.01	1.0360200846641157	0.8515044539707257
2060-02-14	0.0	8.45	0.94	0.8822034647179944	0.8515044539707257
2060-02-15	4.98	8.05	0.87	0.8616743464646541	0.8515044539707257
2060-02-16	8.56	9.5	2.7	1.5261385080406866	0.8515044539707257
