DATE	P	T	Q
20450101	2.06	0.63	1.47
20450102	2.06	0.2	1.28
20450103	8.82	0.27	1.18
20450104	6	4.96	2.2
20450105	6.22	4.63	3.39
20450106	1.84	3.87	4.31
20450107	0.16	3.93	3.69
20450108	0	1.43	3.08
20450109	0.19	-0.2	2.24
20450110	0	-1.04	1.77
20450111	0	-3.91	1.46
20450112	0	-3.79	1.24
20450113	0	-3.58	1.12
20450114	0	-2.33	1.01
20450115	0.07	-5.31	0.87
20450116	0	-1.88	0.77
20450117	0	-1.9	0.72
20450118	0	-2.66	0.66
20450119	0	-2.67	0.59
20450120	0.13	-0.29	0.59
20450121	27.57	3.82	1.63
20450122	13.59	5.64	6.82
20450123	25.77	5.64	15.55
20450124	0.06	4.57	12.11
20450125	0.02	2.38	5.04
20450126	0.03	1.79	3.12
20450127	0	-0.18	2.3
20450128	0	4.37	1.82
20450129	0.03	7.49	1.59
20450130	3.69	9.51	1.75
20450131	3.27	5.75	2.34
20450201	8.33	4.99	1.96
20450202	13.33	6.42	2.73
20450203	22.2	8.4	5.71
20450204	3.28	11.3	10.36
20450205	1.35	8.58	4.89
20450206	1.31	6.83	3.23
20450207	0	5.38	2.52
20450208	0	5.07	2.06
20450209	4.65	7.55	1.69
20450210	0.08	7.46	1.83
20450211	0.15	5.43	1.54
20450212	0	3.62	1.38
20450213	0	5.49	1.26
20450214	0	3.17	1.12
20450215	3.12	7.44	1.02
20450216	3.78	6.48	1.21
20450217	0	4.56	1.2
20450218	0	2.79	1.1
20450219	0.02	1.75	0.99
20450220	0	2.72	0.9
20450221	0.96	3.19	0.82
20450222	1.01	4.92	0.83
20450223	0.02	3.96	0.77
20450224	0.05	2.93	0.75
20450225	0.03	2.39	0.71
20450226	0.03	2.63	0.66
20450227	0	2.2	0.63
20450228	0	2.02	0.61
20450301	0	3.8	0.57
20450302	0	4.43	0.57
20450303	1.5	3.04	0.6
20450304	0	1.86	0.54
20450305	0	2.76	0.52
20450306	1.96	6.83	0.52
20450307	4.3	6.26	0.71
20450308	0.12	5.98	0.57
20450309	2.03	5.96	0.5
20450310	1.03	7.38	0.52
20450311	4.13	5.53	0.7
20450312	0	5.8	0.69
20450313	0	7.19	0.67
20450314	0	7.42	0.63
20450315	0.05	6.72	0.57
20450316	0.26	5.7	0.52
20450317	0	6.76	0.53
20450318	0	7.23	0.53
20450319	0	7.73	0.5
20450320	13.63	4.12	0.54
20450321	2.3	4.38	1.48
20450322	0	5.89	1.53
20450323	4.43	5.05	1.14
20450324	1.09	6.35	1.25
20450325	4.66	7.49	1.09
20450326	3.5	8	1.38
20450327	2.64	10.57	1.47
20450328	1.66	14.23	1.51
20450329	1.16	12.45	1.33
20450330	0	8.48	1.06
20450331	15.7	7.8	1.38
20450401	4.93	12.28	4.16
20450402	0.59	9.62	2.69
20450403	13.43	5.31	1.95
20450404	2.36	3.41	3.15
20450405	0.49	3.7	2.79
20450406	0.14	3.54	2.11
20450407	0.59	4.81	1.66
20450408	7.76	3.82	2.07
20450409	2.77	4.36	2.2
20450410	0.57	4.82	1.88
20450411	0.02	7.07	1.59
20450412	0	7.69	1.36
20450413	0	9.28	1.14
20450414	0	11.09	1.1
20450415	0	12.01	0.9
20450416	0	13.51	0.8
20450417	0.25	13.53	0.74
20450418	5.25	13.51	0.74
20450419	5.94	9.65	0.92
20450420	3.11	5.55	0.9
20450421	7.43	3.51	1.07
20450422	4.82	4.79	1.12
20450423	9.92	4.39	1.11
20450424	6.49	6.14	2.74
20450425	8.31	5.78	3.73
20450426	18.99	6.03	5.09
20450427	2	6.86	7.13
20450428	0.25	8.32	3.96
20450429	0	10.27	2.61
20450430	0	11.85	1.92
20450501	0	12.72	1.5
20450502	0.04	12.12	1.21
20450503	19.09	11.19	1.19
20450504	10.51	10.42	4.39
20450505	0	7.47	3.39
20450506	0.71	9.89	2.18
20450507	0.33	12.66	1.66
20450508	6.55	10.54	1.64
20450509	13.77	10.09	2.74
20450510	0	10.98	3.02
20450511	0	14.27	1.92
20450512	0	15.06	1.49
20450513	0.35	15.51	1.21
20450514	2.82	11.54	1.09
20450515	0	11.15	0.92
20450516	0	10.55	0.81
20450517	0	12.05	0.72
20450518	4.74	12.16	0.69
20450519	0.02	12.32	0.74
20450520	0	14.24	0.61
20450521	2.49	15.53	0.59
20450522	0.3	15.08	0.52
20450523	0	13.73	0.52
20450524	0	13.23	0.5
20450525	0	14.57	0.47
20450526	0	16.36	0.45
20450527	6.71	16.43	0.46
20450528	11.91	13.85	1.11
20450529	3.95	12.44	0.74
20450530	2.34	11.62	0.54
20450531	3.31	11.69	0.61
20450601	6.19	10.5	0.49
20450602	1.35	11.51	0.81
20450603	5.61	14.86	0.53
20450604	18.48	17.74	3.64
20450605	0	18.67	1.93
20450606	7.14	18.61	1.2
20450607	7.23	16.42	2.35
20450608	4.73	16.78	2.12
20450609	15.74	18.01	2.11
20450610	3.8	16.38	8.18
20450611	0	18.66	3.76
20450612	0	20.98	2.09
20450613	0	23.27	1.47
20450614	18.23	25.06	1.13
20450615	1.69	16.82	3.21
20450616	6.16	17.85	1.65
20450617	6.46	15.97	2.34
20450618	0.96	15.28	2.21
20450619	4.72	16.96	1.53
20450620	0.11	15.22	1.52
20450621	5.53	14.91	1.11
20450622	1.29	15.33	1.44
20450623	3.6	14.08	1.12
20450624	3.71	15.27	1.28
20450625	4.39	13.51	1.45
20450626	5.4	14.26	1.38
20450627	6.13	11.55	2.2
20450628	13.21	12.79	2.32
20450629	21.19	12.38	11.82
20450630	0	14.82	11.01
20450701	6.41	14.08	3.94
20450702	3.86	13.03	3.2
20450703	4.01	14.09	3.56
20450704	0	15.88	3.25
20450705	0.16	16.91	2.06
20450706	1.29	16.69	1.55
20450707	3.93	18.98	1.33
20450708	13.04	16.32	2.07
20450709	9.13	14.21	6.37
20450710	4.83	14.82	4.11
20450711	0.03	14.89	2.8
20450712	0.19	16.01	2.01
20450713	3.28	14.69	1.57
20450714	2.91	18.77	1.39
20450715	13.81	17.5	1.68
20450716	12.98	16.19	8.3
20450717	0	15.41	5.42
20450718	3.89	15.98	2.77
20450719	0.03	19.11	2.2
20450720	10.05	19.32	1.76
20450721	0.51	14.39	2.78
20450722	0	15.33	1.82
20450723	0	18.16	1.41
20450724	0	22.28	1.12
20450725	0	23.01	0.96
20450726	0.43	23.24	0.83
20450727	0	21.94	0.71
20450728	0	22.29	0.68
20450729	14.26	21.03	1.15
20450730	0	19.84	1.17
20450731	0	21.02	0.72
20450801	0	21.59	0.63
20450802	0	23.94	0.57
20450803	2.19	26.25	0.52
20450804	0.02	24.43	0.58
20450805	0	23.2	0.47
20450806	0	22.82	0.44
20450807	9.66	22.08	0.42
20450808	12.44	19.81	1.58
20450809	0	20.92	0.83
20450810	0	21.65	0.56
20450811	3.9	21.72	0.51
20450812	5.93	17.86	0.79
20450813	0	17.27	0.52
20450814	0	20.27	0.43
20450815	2.75	21	0.41
20450816	8.07	18.5	0.45
20450817	0.1	18.69	0.59
20450818	0	20.01	0.41
20450819	0.39	20.01	0.36
20450820	0.02	21	0.35
20450821	0	22.55	0.34
20450822	0	19.91	0.3
20450823	0	15.15	0.28
20450824	0	14.11	0.26
20450825	0	14.72	0.28
20450826	0	16.21	0.24
20450827	3.49	18.83	0.28
20450828	0	20.67	0.3
20450829	0.05	20.89	0.27
20450830	6.59	20.42	0.41
20450831	4.88	15.85	0.34
20450901	0	15.15	0.41
20450902	0	15.69	0.28
20450903	0	16.04	0.25
20450904	0	19.35	0.24
20450905	8.85	19.41	0.31
20450906	0	16.3	0.38
20450907	0	16.07	0.23
20450908	2.41	18.25	0.24
20450909	2.12	15.87	0.29
20450910	1.15	14.24	0.24
20450911	2.85	17.46	0.3
20450912	0.76	17.43	0.25
20450913	0	17.23	0.23
20450914	0	15.44	0.2
20450915	0	14.98	0.22
20450916	0	16.08	0.21
20450917	0	17.51	0.21
20450918	0	17.8	0.2
20450919	0	18.82	0.21
20450920	0.02	18.9	0.2
20450921	0	18.71	0.17
20450922	20.26	18.88	0.2
20450923	0.55	17.6	0.8
20450924	0	16.7	0.27
20450925	0	17.11	0.23
20450926	0	17.3	0.22
20450927	0.16	14.76	0.21
20450928	0	14.64	0.2
20450929	0.02	14	0.22
20450930	0	15.9	0.21
20451001	0.37	16.1	0.2
20451002	1.64	15.06	0.23
20451003	0	14.5	0.2
20451004	0	13.89	0.2
20451005	0	14.13	0.2
20451006	0	14.38	0.19
20451007	13.94	17.27	0.18
20451008	1.63	10.67	0.4
20451009	3.53	7.9	0.34
20451010	1.44	8.27	0.26
20451011	4.5	8.52	0.24
20451012	18.4	9.48	0.73
20451013	13.67	8.29	1.71
20451014	0.67	7.79	0.99
20451015	0.17	9.12	0.49
20451016	0.05	14.08	0.4
20451017	15.25	11.54	1.12
20451018	16.45	8.97	1.96
20451019	3.43	8.47	2.94
20451020	0	6.33	1.69
20451021	0	6.65	1.04
20451022	0	7.85	0.78
20451023	2.87	8.83	0.68
20451024	14.04	11.97	0.85
20451025	3.14	8.86	2.46
20451026	0	8.36	1.67
20451027	0	7.23	1.14
20451028	0	8.72	0.87
20451029	0.18	14.15	0.71
20451030	0	9.92	0.58
20451031	0	6.1	0.51
20451101	0	5.13	0.46
20451102	0.11	1.21	0.41
20451103	0	0.83	0.4
20451104	0.32	1.05	0.37
20451105	0.02	1.07	0.37
20451106	0	1.84	0.37
20451107	0.76	4.76	0.36
20451108	0.03	6.83	0.33
20451109	0.3	6.64	0.31
20451110	0.16	2.86	0.32
20451111	0	2.13	0.3
20451112	9.5	2.22	0.32
20451113	0	0.11	0.39
20451114	0	0.22	0.32
20451115	1.87	5.3	0.44
20451116	0.38	13.7	0.6
20451117	2.09	9.26	0.47
20451118	15.16	11.19	0.55
20451119	0	9.65	3.41
20451120	0	8.15	1.63
20451121	0	7.81	1.09
20451122	0	5.71	0.83
