Date	P	T	Q
19800101	0.193	-0.131	1.7626
19800102	1.823	-1.666	1.4692
19800103	1.825	-2.099	1.2759
19800104	7.815	-2.027	1.1848
19800105	5.314	2.661	2.1983
19800106	5.512	2.332	3.3867
19800107	1.629	1.573	4.3145
19800108	0.138	1.634	3.6948
19800109	0	-0.866	3.0823
19800110	0.165	-2.495	2.2438
19800111	0.002	-3.335	1.7736
19800112	0.002	-6.205	1.4619
19800113	0.002	-6.086	1.2395
19800114	0	-5.882	1.1174
19800115	0	-4.628	1.0062
19800116	0.058	-7.611	0.8695
19800117	0	-4.182	0.7656
19800118	0.002	-4.198	0.7164
19800119	0.002	-4.962	0.6598
19800120	0.001	-4.973	0.5942
19800121	0.113	-2.591	0.5851
19800122	24.417	1.519	1.6314
19800123	12.033	3.34	6.819
19800124	22.824	3.345	15.5465
19800125	0.052	2.274	12.1088
19800126	0.015	0.08	5.0418
19800127	0.023	-0.508	3.1188
19800128	0	-2.482	2.2985
19800129	0	2.07	1.821
19800130	0.023	5.186	1.5949
19800131	3.269	7.21	1.7535
19800201	2.894	3.451	2.3405
19800202	7.379	2.694	1.9558
19800203	11.805	4.117	2.7287
19800204	19.661	6.103	5.7108
19800205	2.909	8.996	10.3589
19800206	1.194	6.281	4.8887
19800207	1.16	4.526	3.2263
19800208	0	3.075	2.5246
19800209	0	2.773	2.0579
19800210	4.119	5.247	1.6934
19800211	0.072	5.163	1.8301
19800212	0.13	3.127	1.5403
19800213	0	1.325	1.3798
19800214	0	3.186	1.2577
19800215	0	0.867	1.1192
19800216	2.762	5.137	1.0244
19800217	3.35	4.18	1.2085
19800218	0	2.258	1.1957
19800219	0	0.488	1.101
19800220	0.02	-0.545	0.9934
19800221	0	0.416	0.895
19800222	0.848	0.887	0.8221
19800223	0.896	2.617	0.833
19800224	0.015	1.656	0.7692
19800225	0.047	0.626	0.7528
19800226	0.023	0.087	0.7109
19800227	0.023	0.335	0.6598
19800228	0	-0.103	0.6325
19800229	0	-0.281	0.6143
19800301	0.002	1.496	0.5742
19800302	0	2.133	0.5669
19800303	1.302	0.741	0.5961
19800304	0	-0.441	0.5414
19800305	0	0.465	0.5158
19800306	1.703	4.532	0.5213
19800307	3.734	3.964	0.7127
19800308	0.1	3.676	0.5742
19800309	1.766	3.658	0.5031
19800310	0.894	5.079	0.525
19800311	3.588	3.234	0.6981
19800312	0	3.498	0.6908
19800313	0	4.894	0.6671
19800314	0	5.124	0.6289
19800315	0.046	4.415	0.5669
19800316	0.224	3.4	0.525
19800317	0	4.455	0.5304
19800318	0	4.926	0.5286
19800319	0	5.433	0.4958
19800320	11.835	1.825	0.5359
19800321	1.994	2.081	1.4783
19800322	0	3.586	1.533
19800323	3.845	2.747	1.1356
19800324	0.949	4.047	1.2486
19800325	4.044	5.189	1.0937
19800326	3.041	5.705	1.3835
19800327	2.295	8.269	1.471
19800328	1.444	11.926	1.5129
19800329	1.011	10.154	1.3252
19800330	0	6.183	1.059
19800331	13.632	5.5	1.3798
19800401	4.277	10.38	4.1632
19800402	0.514	7.725	2.6886
19800403	11.661	3.409	1.9467
19800404	2.049	1.507	3.1461
19800405	0.426	1.8	2.7925
19800406	0.123	1.64	2.109
19800407	0.515	2.914	1.6551
19800408	6.736	1.918	2.067
19800409	2.405	2.463	2.2019
19800410	0.498	2.917	1.8829
19800411	0.016	5.173	1.5895
19800412	0	5.788	1.3598
19800413	0	7.379	1.1447
19800414	0	9.193	1.0991
19800415	0	10.107	0.9023
19800416	0	11.612	0.8038
19800417	0.213	11.634	0.7437
19800418	4.557	11.609	0.7401
19800419	5.157	7.753	0.9205
19800420	2.703	3.647	0.9041
19800421	6.449	1.611	1.0682
19800422	4.181	2.888	1.1174
19800423	8.612	2.492	1.1083
19800424	5.63	4.242	2.7433
19800425	7.216	3.882	3.7258
19800426	16.487	4.125	5.0892
19800427	1.733	4.96	7.1253
19800428	0.218	6.424	3.9627
19800429	0	8.366	2.6121
19800430	0	9.953	1.923
19800501	0	10.825	1.4983
19800502	0.036	10.217	1.2067
19800503	16.575	9.29	1.1866
19800504	9.122	8.524	4.3874
19800505	0.003	5.574	3.3922
19800506	0.619	7.991	2.1819
19800507	0.289	10.756	1.6642
19800508	5.689	8.643	1.6405
19800509	11.951	8.191	2.736
19800510	0	9.084	3.024
19800511	0	12.373	1.9249
19800512	0	13.165	1.4929
19800513	0.306	13.613	1.214
19800514	2.446	9.637	1.0864
19800515	0	9.249	0.9187
19800516	0	8.646	0.8075
19800517	0	10.146	0.7218
19800518	4.116	10.262	0.6945
19800519	0.016	10.42	0.7437
19800520	0	12.344	0.6125
19800521	2.163	13.625	0.5906
19800522	0.257	13.18	0.525
19800523	0	11.834	0.5213
19800524	0	11.333	0.5049
19800525	0	12.668	0.4703
19800526	0	14.462	0.4502
19800527	5.823	14.526	0.463
19800528	10.339	11.953	1.1064
19800529	3.433	10.538	0.7364
19800530	2.033	9.718	0.5432
19800531	2.876	9.788	0.6106
19800601	6.578	8.6	0.4867
19800602	1.433	9.613	0.8057
19800603	5.958	12.962	0.5341
19800604	19.639	15.843	3.6383
19800605	0	16.771	1.9303
19800606	7.589	16.708	1.1957
19800607	7.688	14.52	2.3514
19800608	5.031	14.885	2.1163
19800609	16.724	16.107	2.109
19800610	4.036	14.482	8.1752
19800611	0	16.759	3.7568
19800612	0	19.085	2.0944
19800613	0	21.371	1.471
19800614	19.378	23.159	1.1265
19800615	1.794	14.924	3.2099
19800616	6.543	15.952	1.6478
19800617	6.86	14.067	2.3441
19800618	1.023	13.383	2.211
19800619	5.021	15.064	1.5311
19800620	0.121	13.321	1.5166
19800621	5.877	13.006	1.1101
19800622	1.372	13.425	1.4382
19800623	3.825	12.18	1.1228
19800624	3.946	13.368	1.2832
19800625	4.663	11.613	1.4455
19800626	5.738	12.357	1.3817
19800627	6.513	9.647	2.2037
19800628	14.037	10.889	2.3204
19800629	22.523	10.482	11.8189
19800630	0	12.917	11.0133
19800701	6.816	11.682	3.9372
19800702	4.105	10.628	3.2008
19800703	4.262	11.694	3.5599
19800704	0	13.476	3.2482
19800705	0.167	14.513	2.0561
19800706	1.368	14.288	1.553
19800707	4.177	16.576	1.327
19800708	13.858	13.921	2.0652
19800709	9.702	11.811	6.3743
19800710	5.128	12.423	4.1086
19800711	0.032	12.487	2.8016
19800712	0.197	13.614	2.0069
19800713	3.482	12.286	1.5731
19800714	3.092	16.372	1.389
19800715	14.674	15.095	1.677
19800716	13.795	13.789	8.301
19800717	0	13.014	5.4155
19800718	4.136	13.576	2.7706
19800719	0.035	16.712	2.2037
19800720	10.682	16.921	1.7608
19800721	0.54	11.992	2.7779
19800722	0	12.93	1.8191
19800723	0	15.758	1.4072
19800724	0	19.881	1.1192
19800725	0	20.608	0.957
19800726	0.455	20.844	0.8294
19800727	0	19.545	0.7109
19800728	0	19.892	0.6763
19800729	15.154	18.634	1.1538
19800730	0	17.442	1.1721
19800731	0	18.617	0.7182
19800801	0	19.188	0.6289
19800802	0	21.539	0.5705
19800803	2.327	23.847	0.5213
19800804	0.023	22.028	0.576
19800805	0	20.803	0.4685
