iter	RMSE
0	1.938861195
1	1.861253279
2	1.795546461
3	1.730004051
4	1.679867324
5	1.636007705
6	1.586089737
7	1.542713048
8	1.508981195
9	1.471802248
10	1.442170111
11	1.407458238
12	1.379515416
13	1.354692556
14	1.331674541
15	1.309407799
16	1.289385037
17	1.270996542
18	1.25065352
19	1.233508871
20	1.215404059
21	1.199003003
22	1.183535184
23	1.16879158
24	1.152189589
25	1.136519479
26	1.124087831
27	1.112482628
28	1.099318505
29	1.087920838
30	1.078750009
31	1.07130856
32	1.060352838
33	1.050917509
34	1.042693209
35	1.033903307
36	1.023857532
37	1.016368418
38	1.00815783
39	0.9962285447
40	0.9880217563
41	0.9796382112
42	0.9705500312
43	0.9620684903
44	0.9523674252
45	0.9442174968
46	0.9392700006
47	0.9318667957
48	0.9245743448
49	0.9169793945
50	0.9134971208
51	0.9066380501
52	0.9003616991
53	0.8938843337
54	0.8883293016
55	0.882414756
56	0.8781915032
57	0.8734214935
58	0.8685121718
59	0.8644643274
60	0.8589919955
61	0.8546648886
62	0.8493826411
63	0.8413662897
64	0.8360113255
65	0.8304522786
66	0.8244521572
67	0.8195585374
68	0.8165921819
69	0.8129621334
70	0.8084349328
71	0.802326928
72	0.7992364088
73	0.7965520487
74	0.7930669378
75	0.788801381
76	0.7836798132
77	0.7801015884
78	0.7767345513
79	0.7742175558
80	0.7720573301
81	0.7688868679
82	0.7664926438
83	0.7638109079
84	0.7599429261
85	0.7567565196
86	0.7535993811
87	0.7496563933
88	0.7451341517
89	0.7418237963
90	0.7380767572
91	0.735923612
92	0.7308665339
93	0.7277267467
94	0.7244903805
95	0.7204706009
96	0.7165051273
97	0.7143586721
98	0.7110120868
99	0.7082307864
100	0.7040221126
101	0.7011962748
102	0.6978614517
103	0.694784238
104	0.6910511934
105	0.6870067602
106	0.683888207
107	0.6819130088
108	0.6795368996
109	0.6759290399
110	0.6720170692
111	0.6701316546
112	0.6687974917
113	0.6666526563
114	0.6646461322
115	0.6626399574
116	0.6586369679
117	0.6559965789
118	0.6531339979
119	0.6496820819
120	0.647373269
121	0.6451037109
122	0.643072887
123	0.640824322
124	0.6396199998
125	0.6363658646
126	0.6333146614
127	0.6313706525
128	0.6303255516
129	0.628585554
130	0.6267659128
131	0.6247078203
132	0.6218566741
133	0.6196624684
134	0.6183838419
135	0.6169193647
136	0.6147886358
137	0.6124549351
138	0.6102667395
139	0.6090758706
140	0.6068491734
141	0.6052314732
142	0.6032966549
143	0.60164132
144	0.5993604064
145	0.5983664008
146	0.5958492394
147	0.5945311129
148	0.5922952627
149	0.5910045939
150	0.5884100092
151	0.5860540451
152	0.585225617
153	0.5831370966
154	0.580407753
155	0.5779819494
156	0.5761827879
157	0.5740612262
158	0.572257659
159	0.5712166161
160	0.5694644426
161	0.5678908324
162	0.5661752108
163	0.5654521538
164	0.5633654225
165	0.5611211345
166	0.5599329162
167	0.556503139
168	0.5553664338
169	0.5542235649
170	0.5521991982
171	0.5509928744
172	0.549970019
173	0.5491963485
174	0.548358376
175	0.5470481705
176	0.5451343341
177	0.5437654799
178	0.5428858453
179	0.5413161745
180	0.5401083853
181	0.5383037189
182	0.5368941894
183	0.5356462881
184	0.5347584569
185	0.5326064319
186	0.5310108923
187	0.5288991131
188	0.5269572531
189	0.5261171255
190	0.5249538325
191	0.5235854113
192	0.5229455347
193	0.521722239
194	0.5194066137
195	0.5173052635
196	0.5162272337
197	0.5152749704
198	0.5140900182
199	0.5119309445
200	0.510534828
201	0.5086155668
202	0.5068929714
203	0.5047714675
204	0.5039259821
205	0.503317347
206	0.5024339203
207	0.5013147618
208	0.4999230515
209	0.4982709236
210	0.4972438465
211	0.495708746
212	0.4949300037
213	0.4940715194
214	0.4925606798
215	0.4908879426
216	0.4890478048
217	0.4883266761
218	0.4875381937
219	0.486704417
220	0.4856526643
221	0.4851603875
222	0.4841853963
223	0.4832555788
224	0.4822579989
225	0.4811601332
226	0.4802708791
227	0.4788827824
228	0.4780501421
229	0.4766706928
230	0.4758012488
231	0.4752585402
232	0.4741084518
233	0.472432332
234	0.4718196576
235	0.4706297325
236	0.4694027361
237	0.4687940192
238	0.4672982932
239	0.4664454364
240	0.4660292806
241	0.465105696
242	0.4639117401
243	0.4633732328
244	0.4618258122
245	0.4611293693
246	0.4601433805
247	0.4593088737
248	0.4584901555
249	0.4573191108
250	0.4568688872
251	0.4563074422
252	0.4554227629
253	0.454021329
254	0.4531511675
255	0.4524562164
256	0.4512171199
257	0.4505499229
258	0.4501351228
259	0.4493148123
260	0.448293676
261	0.4467424928
262	0.4460097729
263	0.4447344116
264	0.4441066872
265	0.4426265184
266	0.4417461435
267	0.4411721375
268	0.4399959453
269	0.4389798037
270	0.4380341975
271	0.4375233793
272	0.4371878068
273	0.4364341016
274	0.4354194198
275	0.4347476325
276	0.4339014176
277	0.4324779078
278	0.4321375368
279	0.4310634954
280	0.4301315823
281	0.4295538029
282	0.4291480158
283	0.4284461717
284	0.4279285304
285	0.426981281
286	0.4256156846
287	0.4251120312
288	0.4245230091
289	0.4232537513
290	0.4224588636
291	0.4209842612
292	0.4205232577
293	0.419254986
294	0.4181820628
295	0.417334008
296	0.4168537283
297	0.4159839148
298	0.4155775932
299	0.4143146801
300	0.4137997332
301	0.4132668235
302	0.4122105299
303	0.410808903
304	0.4097799528
305	0.4089380959
306	0.4084347584
307	0.4078814457
308	0.4074718867
309	0.4069768801
310	0.4058113555
311	0.4048928769
312	0.4043143127
313	0.4036513774
314	0.4031713425
315	0.402809522
316	0.4021880984
317	0.4012557083
318	0.4002819092
319	0.3995719332
320	0.3983711545
321	0.3979364226
322	0.3969493795
323	0.3964116368
324	0.3958056912
325	0.3947684414
326	0.3944006062
327	0.3938393736
328	0.3932278247
329	0.3923532042
330	0.3921473657
331	0.3912442478
332	0.3908504825
333	0.3898236731
334	0.3886247281
335	0.3875393251
336	0.3862823967
337	0.3855155529
338	0.3843569964
339	0.3835620949
340	0.3827673708
341	0.3814383531
342	0.3809390573
343	0.3806420257
344	0.380263432
345	0.3799028676
346	0.3794226216
347	0.3789216877
348	0.3782396607
349	0.3772416884
350	0.3765642443
351	0.3759802385
352	0.3750335656
353	0.3741520237
354	0.3737111943
355	0.3731593475
356	0.3724075805
357	0.3718962598
358	0.3705953271
359	0.3702530252
360	0.3698165033
361	0.3686385434
362	0.3682847878
363	0.3679475406
364	0.3673959185
365	0.3667273612
366	0.3662362859
367	0.365226807
368	0.3647805876
369	0.3639895381
370	0.3630693167
371	0.3623741947
372	0.3619162748
373	0.3611318395
374	0.3599183441
375	0.359049022
376	0.3583544033
377	0.3577653897
378	0.3575222359
379	0.3569527505
380	0.3562865423
381	0.3555578275
382	0.3547391936
383	0.3544580252
384	0.3538288928
385	0.3532688832
386	0.3530262048
387	0.3523778989
388	0.3516352205
389	0.3512420898
390	0.3508531325
391	0.3500136143
392	0.3497500141
393	0.3492940212
394	0.3487704123
395	0.3476944948
396	0.3466658702
397	0.3458149339
398	0.3455052958
399	0.3449196006
400	0.3443502157
401	0.3437337969
402	0.3429534728
403	0.3422233069
404	0.3412051729
405	0.3408463256
406	0.3398207792
407	0.3394025441
408	0.3388597766
409	0.3380263331
410	0.3376965776
411	0.337197523
412	0.3364883407
413	0.3362295071
414	0.3355471979
415	0.3349820776
416	0.3339939959
417	0.333671244
418	0.3331727065
419	0.3326631133
420	0.3318094258
421	0.3310430539
422	0.3305616526
423	0.330303424
424	0.3296585828
425	0.3292255318
426	0.3287362939
427	0.3278846371
428	0.3272108434
429	0.3268751199
430	0.3265355467
431	0.3260234503
432	0.3256439226
433	0.3248445676
434	0.3242697452
435	0.3236525592
436	0.3233777366
437	0.3228400186
438	0.3221712444
439	0.3216247427
440	0.3213208159
441	0.3204921727
442	0.3202144092
443	0.3194043221
444	0.3190176068
445	0.3182154746
446	0.317499336
447	0.3172348552
448	0.3164184179
449	0.3159675865
450	0.3156008355
451	0.3150719049
452	0.3145130178
453	0.3138615901
454	0.3133719743
455	0.3128090222
456	0.3121962369
457	0.3114372673
458	0.3109220767
459	0.3102698095
460	0.3097988947
461	0.3091562441
462	0.3084958312
463	0.3080570938
464	0.3075545797
465	0.306978399
466	0.3064719012
467	0.3060492573
468	0.3057582232
469	0.3053124344
470	0.3047393953
471	0.3042960478
472	0.3034946305
473	0.3031183715
474	0.3026878564
475	0.3019569466
476	0.3013941769
477	0.3009807831
478	0.3005221644
479	0.3001860632
480	0.2994837461
481	0.2990499287
482	0.2981375276
483	0.2974863676
484	0.2968381564
485	0.2961190281
486	0.2957160702
487	0.2953409809
488	0.2948682675
489	0.2943489161
490	0.2940092968
491	0.2933636757
492	0.2930850608
493	0.2927858589
494	0.2923664822
495	0.2919188557
496	0.2915987747
497	0.2909855704
498	0.2904558101
499	0.2900439637
500	0.2895765847
501	0.2891584838
502	0.2885468049
503	0.2882362675
504	0.2877038668
505	0.2873156329
506	0.2868366663
507	0.2863915497
508	0.2860033263
509	0.2855669821
510	0.2851763046
511	0.2848748994
512	0.2844125713
513	0.2840647408
514	0.283727117
515	0.2834027683
516	0.2827305265
517	0.2823645995
518	0.2821061084
519	0.2816826762
520	0.2812304999
521	0.2809226689
522	0.2802980421
523	0.2799134416
524	0.2797464459
525	0.2792853948
526	0.2788655915
527	0.2784821294
528	0.2780270556
529	0.2777178589
530	0.2771373981
531	0.2768324698
532	0.2763747721
533	0.2760062839
534	0.2756705129
535	0.2751559169
536	0.2745762855
537	0.2743376685
538	0.2739512342
539	0.2736974749
540	0.2733318612
541	0.2730480644
542	0.2724363093
543	0.2719682938
544	0.2716522715
545	0.2712897853
546	0.2706797793
547	0.2704907783
548	0.2696912543
549	0.2693435076
550	0.2687710681
551	0.2685626614
552	0.2683267826
553	0.2679254862
554	0.2671190399
555	0.2669723102
556	0.266694001
557	0.26654198
558	0.2659462238
559	0.2654401564
560	0.264902926
561	0.2647034249
562	0.2643746406
563	0.2641256625
564	0.2639211008
565	0.2634850246
566	0.2631347464
567	0.2627668541
568	0.2625544316
569	0.2622351939
570	0.261947027
571	0.2614949278
572	0.26080136
573	0.2605875442
574	0.2600728139
575	0.2596040417
576	0.2590128775
577	0.2586700008
578	0.2583557694
579	0.2580100969
580	0.2575163462
581	0.2571233853
582	0.2566023272
583	0.2561165193
584	0.2557421777
585	0.255387442
586	0.2549687559
587	0.2546611572
588	0.2539623295
589	0.2536990534
590	0.2535809786
591	0.2533605595
592	0.2532589867
593	0.252736964
594	0.2525185872
595	0.2523113238
596	0.2519668735
597	0.2516292769
598	0.2513831244
599	0.2511999684
600	0.2509523195
601	0.2505603054
602	0.2501812201
603	0.2498485583
604	0.2495008153
605	0.2491223403
606	0.2484157891
607	0.2483312105
608	0.2479908356
609	0.2478150113
610	0.2475075018
611	0.2471521594
612	0.2468374804
613	0.2467421749
614	0.2466174594
615	0.2463728214
616	0.2460355463
617	0.2454942269
618	0.2451028493
619	0.2449874158
620	0.2447597759
621	0.2445358233
622	0.2442469519
623	0.2440667087
624	0.2438099177
625	0.2436226749
626	0.2433845954
627	0.2429987159
628	0.2427194125
629	0.2423518531
630	0.2421870258
631	0.2417034899
632	0.2415211308
633	0.2412019986
634	0.2409055515
635	0.2407600897
636	0.2405190651
637	0.2403467926
638	0.2400479752
639	0.2396055376
640	0.2392752181
641	0.2390001301
642	0.2385611277
643	0.2382627171
644	0.238024793
645	0.2378264974
646	0.2372848055
647	0.2369716039
648	0.2363553245
649	0.235850127
650	0.2353091313
651	0.2348134031
652	0.2345261916
653	0.2342854695
654	0.2338248491
655	0.2335660032
656	0.2333408613
657	0.2332105178
658	0.2331053855
659	0.2329689634
660	0.2327266247
661	0.2324383622
662	0.2322220186
663	0.2319996168
664	0.2316463515
665	0.2314733113
666	0.2312960059
667	0.2308551982
668	0.2305877833
669	0.2300574087
670	0.2298638241
671	0.2295676704
672	0.2291976965
673	0.2288375782
674	0.2286922685
675	0.2283791141
676	0.2280242008
677	0.2278804009
678	0.2274121786
679	0.2271457095
680	0.2268570742
681	0.2265989498
682	0.2264646002
683	0.2263613663
684	0.2261021896
685	0.2257658862
686	0.2253062473
687	0.2250641214
688	0.2245785257
689	0.2241618468
690	0.2238895679
691	0.2236653449
692	0.223401194
693	0.223020392
694	0.2228442078
695	0.2227228069
696	0.2226136705
697	0.2222835998
698	0.2219394536
699	0.2215397935
700	0.2214096975
701	0.2210916266
702	0.2207240164
703	0.2202764859
704	0.220204223
705	0.2198471315
706	0.2197699522
707	0.2196210916
708	0.2194836833
709	0.2192811495
710	0.2190631085
711	0.2187267344
712	0.2185022633
713	0.2182765844
714	0.2182260214
715	0.2179860079
716	0.2178630206
717	0.2174506227
718	0.2170864748
719	0.2166234003
720	0.2163098741
721	0.2160109852
722	0.2156427898
723	0.2151404531
724	0.2149774478
725	0.2148083614
726	0.214433593
